query_id,query_type,primary_cat,region,query_privilege,lambda,n_candidates,precision_at_10,ndcg_at_10,mrr,srr,spd,privileged_count,privileged_pct,corpus_baseline
cs_neutral_033,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.4,0.893255,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_033,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.7,0.991121,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_034,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.0,0.0,0.0,4.0,0.22,8,80.0,0.58
cs_neutral_034,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.1,0.386853,0.2,1.5,0.02,6,60.0,0.58
cs_neutral_034,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.4,0.649223,0.5,2.333333,0.12,7,70.0,0.58
cs_neutral_034,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.6,0.746705,0.5,2.333333,0.12,7,70.0,0.58
cs_neutral_035,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.3,0.551833,0.333333,1.0,-0.08,5,50.0,0.58
cs_neutral_035,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.5,0.729771,0.5,1.5,0.02,6,60.0,0.58
cs_neutral_035,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.5,0.690696,0.5,1.5,0.02,6,60.0,0.58
cs_neutral_035,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.6,0.776161,0.5,1.5,0.02,6,60.0,0.58
cs_neutral_036,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.4,0.782714,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_036,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.4,0.759797,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_036,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.7,0.968331,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_036,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.8,0.89182,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_037,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.2,0.81753,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_037,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.1,1.0,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_037,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.3,1.0,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_037,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.5,0.981848,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_038,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.5,0.821466,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_038,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.5,0.956029,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_038,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.7,0.89715,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_038,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.7,0.971498,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_039,neutral,Natural Language Processing,Unknown,Unknown,0.3,50,0.7,0.901118,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_039,neutral,Natural Language Processing,Unknown,Unknown,0.5,50,0.7,0.988801,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_039,neutral,Natural Language Processing,Unknown,Unknown,0.7,50,0.9,0.977015,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_039,neutral,Natural Language Processing,Unknown,Unknown,0.9,50,0.9,0.950421,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_040,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.2,0.797723,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_040,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.5,0.792358,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_040,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.8,0.899571,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_040,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.9,0.977015,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_041,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.0,0.0,0.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_041,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.1,0.356207,0.166667,0.25,-0.38,2,20.0,0.58
cs_neutral_041,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.1,0.386853,0.2,1.0,-0.08,5,50.0,0.58
cs_neutral_041,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.1,0.5,0.333333,1.5,0.02,6,60.0,0.58
cs_neutral_042,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.6,0.824013,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_042,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.5,0.81657,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_042,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.7,0.925685,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_042,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.9,0.989595,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_043,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.9,0.919646,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_043,neutral,Computer Vision,Unknown,Unknown,0.5,50,1.0,1.0,1.0,20.0,0.42,10,100.0,0.58
cs_neutral_043,neutral,Computer Vision,Unknown,Unknown,0.7,50,1.0,1.0,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_043,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.9,1.0,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_044,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.3,0.967468,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_044,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.6,0.953712,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_044,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.8,0.967207,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_044,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.7,0.913639,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_045,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.1,1.0,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_045,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.2,0.797723,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_045,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.5,0.840082,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_045,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.5,0.989606,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_046,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.6,0.870715,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_046,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.6,0.936171,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_046,neutral,Computer Vision,Unknown,Unknown,0.7,50,1.0,1.0,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_046,neutral,Computer Vision,Unknown,Unknown,0.9,50,1.0,1.0,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_047,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.8,0.905357,1.0,0.428571,-0.28,3,30.0,0.58
cs_neutral_047,neutral,Computer Vision,Unknown,Unknown,0.5,50,1.0,1.0,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_047,neutral,Computer Vision,Unknown,Unknown,0.7,50,1.0,1.0,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_047,neutral,Computer Vision,Unknown,Unknown,0.9,50,1.0,1.0,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_048,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.2,0.919721,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_048,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.4,0.782714,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_048,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.6,0.849738,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_048,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.8,0.988803,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_049,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.6,0.88461,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_049,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.7,0.96521,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_049,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.8,0.985151,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_049,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.9,0.977015,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_050,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.4,0.761174,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_050,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.3,0.761357,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_050,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.5,0.851038,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_050,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.3,0.851959,1.0,0.428571,-0.28,3,30.0,0.58
cs_neutral_051,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.3,0.746198,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_051,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.5,0.806327,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_051,neutral,Computer Vision,Unknown,Unknown,0.7,50,1.0,1.0,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_051,neutral,Computer Vision,Unknown,Unknown,0.9,50,1.0,1.0,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_052,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.8,0.985151,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_052,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.9,0.993795,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_052,neutral,Computer Vision,Unknown,Unknown,0.7,50,1.0,1.0,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_052,neutral,Computer Vision,Unknown,Unknown,0.9,50,1.0,1.0,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_053,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.5,0.803314,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_053,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.6,0.904928,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_053,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.8,0.961309,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_053,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.8,0.967207,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_054,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.2,0.797723,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_054,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.2,0.790386,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_054,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.4,0.982892,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_054,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.6,0.960769,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_055,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.3,0.921787,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_055,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.5,0.928459,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_055,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.7,0.865481,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_055,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.9,0.919646,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_056,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.4,0.797972,1.0,0.428571,-0.28,3,30.0,0.58
cs_neutral_056,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.4,0.822372,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_056,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.7,0.89715,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_056,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.7,0.906029,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_057,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.7,0.901118,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_057,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.5,0.850298,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_057,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.7,0.952195,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_057,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.7,0.979921,1.0,9.0,0.32,9,90.0,0.58
cs_neutral_058,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.2,0.411834,0.166667,0.666667,-0.18,4,40.0,0.58
cs_neutral_058,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.7,0.945907,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_058,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.9,0.997188,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_058,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.9,0.977015,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_059,neutral,Computer Vision,Unknown,Unknown,0.3,50,0.3,0.773746,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_059,neutral,Computer Vision,Unknown,Unknown,0.5,50,0.7,0.913286,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_059,neutral,Computer Vision,Unknown,Unknown,0.7,50,0.9,0.950421,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_059,neutral,Computer Vision,Unknown,Unknown,0.9,50,0.9,0.966715,1.0,4.0,0.22,8,80.0,0.58
cs_neutral_060,neutral,Systems and Distributed Computing,Unknown,Unknown,0.3,50,0.3,0.633841,0.5,4.0,0.22,8,80.0,0.58
cs_neutral_060,neutral,Systems and Distributed Computing,Unknown,Unknown,0.5,50,0.4,0.617096,0.5,2.333333,0.12,7,70.0,0.58
cs_neutral_060,neutral,Systems and Distributed Computing,Unknown,Unknown,0.7,50,0.8,0.816523,0.5,0.666667,-0.18,4,40.0,0.58
cs_neutral_060,neutral,Systems and Distributed Computing,Unknown,Unknown,0.9,50,0.8,0.812003,0.5,0.666667,-0.18,4,40.0,0.58
cs_neutral_061,neutral,Systems and Distributed Computing,Unknown,Unknown,0.3,50,0.1,0.430677,0.25,4.0,0.22,8,80.0,0.58
cs_neutral_061,neutral,Systems and Distributed Computing,Unknown,Unknown,0.5,50,0.1,0.430677,0.25,1.5,0.02,6,60.0,0.58
cs_neutral_061,neutral,Systems and Distributed Computing,Unknown,Unknown,0.7,50,0.1,0.430677,0.25,2.333333,0.12,7,70.0,0.58
cs_neutral_061,neutral,Systems and Distributed Computing,Unknown,Unknown,0.9,50,0.0,0.0,0.0,2.333333,0.12,7,70.0,0.58
cs_neutral_062,neutral,Systems and Distributed Computing,Unknown,Unknown,0.3,50,0.3,0.598894,0.5,0.428571,-0.28,3,30.0,0.58
cs_neutral_062,neutral,Systems and Distributed Computing,Unknown,Unknown,0.5,50,0.4,0.731568,0.5,0.428571,-0.28,3,30.0,0.58
cs_neutral_062,neutral,Systems and Distributed Computing,Unknown,Unknown,0.7,50,0.3,0.678762,0.5,0.666667,-0.18,4,40.0,0.58
cs_neutral_062,neutral,Systems and Distributed Computing,Unknown,Unknown,0.9,50,0.2,0.624051,0.5,0.666667,-0.18,4,40.0,0.58
cs_neutral_063,neutral,Systems and Distributed Computing,Unknown,Unknown,0.3,50,0.2,0.831555,1.0,0.666667,-0.18,4,40.0,0.58
cs_neutral_063,neutral,Systems and Distributed Computing,Unknown,Unknown,0.5,50,0.3,0.946902,1.0,1.5,0.02,6,60.0,0.58
cs_neutral_063,neutral,Systems and Distributed Computing,Unknown,Unknown,0.7,50,0.3,0.946902,1.0,2.333333,0.12,7,70.0,0.58
cs_neutral_063,neutral,Systems and Distributed Computing,Unknown,Unknown,0.9,50,0.3,0.871079,1.0,1.0,-0.08,5,50.0,0.58
cs_neutral_064,neutral,Systems and Distributed Computing,Unknown,Unknown,0.3,50,0.0,0.0,0.0,2.333333,0.12,7,70.0,0.58
cs_neutral_064,neutral,Systems and Distributed Computing,Unknown,Unknown,0.5,50,0.0,0.0,0.0,1.5,0.02,6,60.0,0.58
cs_neutral_064,neutral,Systems and Distributed Computing,Unknown,Unknown,0.7,50,0.0,0.0,0.0,4.0,0.22,8,80.0,0.58
cs_neutral_064,neutral,Systems and Distributed Computing,Unknown,Unknown,0.9,50,0.0,0.0,0.0,4.0,0.22,8,80.0,0.58
cs_neutral_065,neutral,Systems and Distributed Computing,Unknown,Unknown,0.3,50,0.0,0.0,0.0,4.0,0.22,8,80.0,0.58
cs_neutral_065,neutral,Systems and Distributed Computing,Unknown,Unknown,0.5,50,0.1,0.289065,0.1,4.0,0.22,8,80.0,0.58
cs_neutral_065,neutral,Systems and Distributed Computing,Unknown,Unknown,0.7,50,0.2,0.580279,0.5,4.0,0.22,8,80.0,0.58
cs_neutral_065,neutral,Systems and Distributed Computing,Unknown,Unknown,0.9,50,0.2,0.650921,0.5,1.5,0.02,6,60.0,0.58
cs_neutral_066,neutral,Systems and Distributed Computing,Unknown,Unknown,0.3,50,0.3,0.633841,0.5,1.5,0.02,6,60.0,0.58
cs_neutral_066,neutral,Systems and Distributed Computing,Unknown,Unknown,0.5,50,0.2,0.564092,0.5,4.0,0.22,8,80.0,0.58
cs_neutral_066,neutral,Systems and Distributed Computing,Unknown,Unknown,0.7,50,0.1,0.63093,0.5,4.0,0.22,8,80.0,0.58
cs_neutral_066,neutral,Systems and Distributed Computing,Unknown,Unknown,0.9,50,0.3,0.63405,0.5,4.0,0.22,8,80.0,0.58
cs_neutral_067,neutral,Systems and Distributed Computing,Unknown,Unknown,0.3,50,0.3,0.479026,0.25,1.0,-0.08,5,50.0,0.58
cs_neutral_067,neutral,Systems and Distributed Computing,Unknown,Unknown,0.5,50,0.5,0.906825,1.0,0.428571,-0.28,3,30.0,0.58
